Part Number,Description,Resistor,dimention,Power (1/XXW),Nominal Value ohms,Tolerance
64.R0105.7FL,CHIP RES 0.01 F 1W 3720,1,3720,1,0.01,0.01
64.R0105.81L,CHIP RES 0.01 F 1/2W 1206,1,1206,2,0.01,0.01
64.R0205.81L,CHIP RES 0.02 F 1/2W 1206,1,1206,2,0.02,0.01
A063.R0007.0101,CHIP RES 0.0002 J 1/2W 0805 T=0.4,1,805,2,0.002,0.05
A31SD000000680,S RES 1/16W 8.45K +-1% 0402,1,402,16,8450,0.01
A31SD000003380,S RES 1/16W 1.62K +-1% 0402,1,402,16,1690,0.01
A31SD000004100,S RES 1/16W 8.2K +-1% 0402,1,402,16,8200,0.01
A31SD000006T80,S RES 1/10W 4.7 +-1% 0603,1,603,10,4.7,0.01
A31SD000008H80,S RES 1/16W 51 +-1% 0402,1,402,16,51,0.01
A31SD00000FU80,S RES 1/16W 120 +-1% 0402,1,402,16,120,0.01
A31SD00000I100,S RES 1/16W 1 +-1% 0402,1,402,16,1,0.01
A31SD00000JB80,S RES 1/16W 1.69K +-1% 0402,1,402,16,1690,0.01
A31SD00000K820,S RES 1W 0.01 +-1% 1206 100PPM/C,1,1206,1,0.01,0.01
A31SD00000RF00,S RES 1/16W 1.33K +-1% 0402,1,402,16,1330,0.01
A31SD00000S120,S RES 1W 0.02 +-1% 1206 100PPM/C,1,1206,1,0.02,0.01
A31SD00000SJ80,S RES 1/16W 1.58K +-1% 0402,1,402,16,1580,0.01
A31SD00000YK00,S RES 1/20W 150 +-1% 0201,1,201,20,150,0.01
A31SD000010280,S RES 1/2W 4.7 +-5% 1206,1,1206,2,4.7,0.05
A31SD000011980,S RES 1/16W 4.75K +-0.5% 0402,1,402,16,4750,0.05
A31SD000012O80,S RES 1/20W 51 +-5% 0201,1,201,20,51,0.05
A31SD000012P80,S RES 1/20W 1.5K +-5% 0201,1,201,20,1500,0.05
A31SD000017R00,S RES 1W 0.005 +-1% 1206 100PPM/C,1,1206,1,0.005,0.01
A31SD00001VZ00,S RES 1/2W 0.0002 +-5% 0805 3800PPM/C,1,805,2,0.0002,0.05
A31SD001470B80,S RES 1/4W 4.7 +-5% 1206,1,1206,4,4.7,0.05
A31SD002100B80,S RES 1/8W 1 +-5% 0805,1,805,8,1,0.05
A31SD002100B8L,S RES 1/8W 1 +-5% 0805,1,805,8,1,0.05
A31SD008100A80,S RES 1/8W 10 +-1% 0805,1,805,8,10,0.01
A31SD011000080,S RES 1/4W 0 +-5% 1206,1,1206,4,0,0.05
A31SD011100080,S RES 1/4W 100 +-5% 1206,1,1206,4,100,0.05
A31SD011100A80,S RES 1/4W 10 +-5% 1206,1,1206,4,10,0.05
A31SD013100080,S RES 1/10W 100 +-5% 0603,1,603,10,100,0.05
A31SD013100A80,S RES 1/10W 10 +-5% 0603,1,603,10,10,0.05
A31SD013100B80,S RES 1/10W 1 +-5% 0603,1,603,10,1,0.05
A31SD013470B80,S RES 1/10W 4.7 +-5% 0603,1,603,10,4.7,0.05
A31SD014100080,S RES 1/10W 100 +-1% 0603,1,603,10,100,0.01
A31SD014100080L,S RES 1/10W 100 +-1% 0603,1,603,10,100,0.01
A31SD014100A80,S RES 1/10W 10 +-1% 0603,1,603,10,10,0.01
A31SD014100B80,S RES 1/10W 1 +-1% 0603,1,603,10,1,0.01
A31SD028100080,S RES 1/16W 100 +-5% 0402,1,402,16,100,0.05
A31SD028100180,S RES 1/16W 1K +-5% 0402,1,402,16,1000,0.05
A31SD028100280,S RES 1/16W 10K +-5% 0402,1,402,16,10000,0.05
A31SD028100280L,S RES 1/16W 10K +-5% 0402,1,402,16,10000,0.05
A31SD028100380,S RES 1/16W 100K +-5% 0402,1,402,16,100000,0.05
A31SD028100480,S RES 1/16W 1M +-5% 0402,1,402,16,1000000,0.05
